"id","region","is_global","type","common_name","scientific_name","cites","cites_other","extant_countries","status","warnings","habitat","basic_id_cues","consumer_advice","enforcement_advice","similar_animals","known_as","average_size_weight","first_responder","traded_as","common_trafficking","notes","keywords_tags","reference","disease_name","disease_risk_level","created_by","created_date","updated_by","updated_date"
"198","4","0","Reptile","Chinese Three-keeled Pond Turtle","Chinemys reevesii","Appendix III","","China, Hong Kong, Taiwan, Japan, Korea","EN","","Relatively shallow ponds, marshes, streams and canals that have muddy or sandy bottoms","The Chinese Three Keeled Pond Turtle has a rectangular shaped shell, with three ridges on top running down the length of its body. They usually have tan or brown shells, and their skin is usually grey green with yellow spots and patterns. ","DO NOT BUY Chinese Three Keeled Pond Turtles. This species is considered endangered in China. This species is exploited for use as food and in the pet trade. Report trade.","INVESTIGATE. For this species, much international trade in live animals, or body parts is regulated. Examine documentation carefully. Examine each case for further investigative leads and report.","Asian Yellow Pond Turtle, Indian Black Turtle","Chinese Pond Turtle","Length 20cm (carapace) ","Avoid handling animal unnecessarily. Handle with extreme care, egg yolks are easily broken in the female’s body during rough handling or transport. Egg-carrying females are characterized by a higher carapace, or upper shell. Specimens in trade can have their shells broken and be internally wounded. These are very difficult to save and require expert veterinary assessment, which may call for specialized care. During handling and shipment, they maybe deliberately fasted to avoid production of faeces in the container and will not survive long without any food so it is essential these animals are placed in specialized veterinary care immediately. Ensure ventilation, but do not remove until a better holding environment can be found. Suspected captive bred or non-native specimens should not be released into the wild.","Food, Medicine, and Pets","Shipped by truck, boat and air freight. Specimens are often transported in plastic sacks. Specimens can be transported live or their eggs. Often concealed on persons or in luggage. Counterfeit documents purporting the legal shipment are common.","","animal,shell,4legs,brown,tan,black,yellow,small,tail,green,","","Bacterial infections i.e. Salmonellosis, Aeromonasis, Campylobacteriosis, Pseudomonas, Mycobacterium spp.","Low","1","2013-11-12 03:18:33","4","2016-03-28 09:23:21"
"202","4","0","Reptile","Chinese Stripe-necked Turtle ","Ocadia sinensis","Appendix III","","China, Taiwan","EN","","Slow moving water at low elevations, including swamps, lakes, marshes and swamps.","Fine yellow and black lines decorate the neck. This turtle has an oval carapace (top shell) that is usually reddish brown to black. It has a yellow underbelly with olive colored limbs are covered in fine yellow lines.","DO NOT BUY Chinese Stripe-necked Turtles. This species is considered endangered. The Chinese Stripe-necked Turtle is one of many turtles exploited for food, traditional medicine uses and as pets.","INVESTIGATE. For this species, all international trade of live animals or body parts is heavily regulated. Examine documentation carefully. Examine each case for further investigative leads. Report to trusted authorities. ","Black breasted leaf turtle, Giant asian pond turtle","","Length ~25cm (carapace) ","Avoid handling animal unnecessarily. Handle with extreme care, egg yolks are easily broken in the female’s body during rough handling or transport. Egg-carrying females are characterized by a higher carapace, or upper shell. Specimens in trade can have their shells broken and be internally wounded. These are very difficult to save and require expert veterinary assessment, which may call for specialized care. During handling and shipment, they maybe deliberately fasted to avoid production of feces in the container and will not survive long without any food so it is essential these animals are placed in specialized veterinary care immediately. Ensure ventilation, but do not remove until a better holding environment can be found. Suspected captive bred or non-native specimens should not be released into the wild.","Food, Medicine, and Pets","Shipped by truck, boat and air freight. Specimens are often transported in plastic sacks. Specimens can be transported live or their eggs. Often concealed on persons or in luggage. Counterfeit documents purporting the legal shipment are common.","","animal,shell,4legs,yellow,brown,green,small,tail","","Bacterial infections i.e. Salmonellosis, Aeromonasis, Campylobacteriosis, Pseudomonas, Mycobacterium spp.","Low","1","2013-11-13 03:15:03","4","2016-03-28 09:22:32"
"203","4","0","Reptile","Frog-faced Softshell Turtle","Pelochelys cantorii","Appendix II","","China, India, Papau New Guinea","EN","","Lowland freshwater areas such as inland streams, large river, swamps and estuaries.","A short snouted softshell turtle. The neck, limbs, and upper and lower shell of the turtle are green to brown in color. Juveniles may have a yellow rimmed, dark spotted head and shell. It is the largest softshell turtle.","DO NOT BUY Asian Giant Softshell Turtles. This species is considered endangered. This species is exploited for the food trade. Report trade.","INVESTIGATE. For this species, all international trade in live animals, or body parts is heavily regulated. Examine documentation carefully. Examine each case for further investigative leads and report to authorities. ","Euphrates Softshell Turtle, Zabezi Flapshell Turtle.","Asiatic Giant Softshell Turtle, Cantor's giant softshell turtle","Length ~200cm(carapace) Weight ~50kg","Avoid handling animal unnecessarily. Handle with extreme care: egg yolks are easily broken in the female’s body during rough handling or transport. Egg-carrying females are characterized by a higher carapace, or upper shell. Specimens in trade can have their shells broken and be internally wounded. These are very difficult to save and require expert veterinary assessment, which may call for specialized care. During handling and shipment, they maybe deliberately fasted to avoid production of feces in the container and will not survive long without any food. Therefore, it is essential for these animals to be placed in specialized veterinary care immediately. Ensure ventilation, but do not remove until a better holding environment can be found. Suspected captive bred or non-native specimens should not be released into the wild.","Meat, eggs, decoration, pets and medicine.","Shipped by truck, boat and air freight. Specimens are often transported in plastic sacks. Specimens can be transported live or their eggs. Often concealed on persons or in luggage. Counterfeit documents purporting the legal shipment are common.","","animal,shell,4legs,brown,green,medium,large,tail,yellow,gray","","Bacterial infections: Salmonellosis, Aeromonasis, Campylobacteriosis, Pseudomonas, Mycobacterium spp.","Low","1","2013-11-13 03:28:16","4","2016-03-29 03:29:02"
"207","1","0","Reptile","Flat-tailed Tortoise","Pyxis planicauda","Appendix I","","Madagascar","CR","Nocturnal","Dry low lying forests, under leaf litter and in shrubs.","Small tortoise with relatively flat (not domed) carapace (shell) and flat tail. Dark greenish to black in color with distinct yellowish markings on the shell. Each scute has a brown to yellow center with distinct  dark borders, usually square and surrounded by another yellow border. The underbelly (plastron) is yellow with variable dark blotches or spots.The limbs range from brown to yellow and the hind legs have scales.","DO NOT BUY Flat-tailed Tortoises. This species is considered critically endangered and is only found in Madagascar. This species is threatened by habitat loss and exploitation for the pet trade.","INVESTIGATE. For this species, all international trade of live animals or body parts is prohibited. This species is also protected under national law. Any papers purporting to allow such trade are false or unlawful. Examine each case for further investigative leads and report.","","Flat-backed Spider Tortoise, Flat-shelled Spider Tortoise, Madagascar Flat-shelled Tortoise","Length ~12cm(carapace) Weight 400~600g","Avoid handling animal unnecessarily. Handle with extreme care: egg yolks are easily broken in the female’s body during rough handling or transport. Egg-carrying females are characterized by a higher carapace, or upper shell. Specimens in trade can have their shells broken and be internally wounded. These are very difficult to save and require expert veterinary assessment, which may call for specialized care. During handling and shipment, they maybe deliberately fasted to avoid production of feces in the container and will not survive long without any food so it is essential these animals are placed in specialized veterinary care immediately. Ensure ventilation, but do not remove until a better holding environment can be found. Suspected captive bred or non-native specimens should not be released into the wild.","Mainly for the pet trade.","Shipped by truck, boat and air freight. Specimens are often transported in plastic sacks. Specimens can be transported live or their eggs. Often concealed on persons or in luggage. Counterfeit documents purporting the legal shipment are common.","","animal,shell,4legs,green,black,tiny,small,tail,brown,yellow,","","Bacterial infections: Salmonellosis, Edwardsiella, Campylobacteriosis","Low","1","2013-11-13 22:27:00","4","2016-03-29 03:25:45"
"211","1","0","Reptile","Leopard Tortoise","Stigmochelys pardalis","","","Africa","","","Arid grasslands and bushes. Some can be found in wetter area of Africa but only rarely.","A tortoise with a very distinct leopard pattern on the carapace (shell). The limbs and head are cream to brown in color. The shell is usually a light yellow color surrounded by darker bands to form rings around the scutes. Each individual is marked uniquely making this species difficult to identify.","DO NOT BUY Leopard Tortoises. This species is considered vulnerable. The importation into the U.S. is prohibited. Report trade.","No laws exist except it is banned from import by the USDA. Report trade.","","","Length ~46cm(carapace) Weight ~18kg","Avoid handling animal unnecessarily. Handle with extreme care: egg yolks are easily broken in the female’s body during rough handling or transport. Egg-carrying females are characterized by a higher carapace, or upper shell. Specimens in trade can have their shells broken and be internally wounded. These are very difficult to save and require expert veterinary assessment, which may call for specialized care.During handling and shipment, they maybe deliberately fasted to avoid production of feces in the container and will not survive long without any food so it is essential these animals are placed in specialized veterinary care immediately. Ensure ventilation, but do not remove until a better holding environment can be found. Suspected captive bred or non-native specimens should not be released into the wild.","Mainly for the pet trade.","Shipped by truck, boat and air freight. Specimens are often transported in plastic sacks. Specimens can be transported live or their eggs. Often concealed on persons or in luggage. Counterfeit documents purporting the legal shipment are common.","","animal,shell,4legs,brown,small,tail,white,black,ywllow","","Bacterial infections: Salmonellosis, Edwardsiella, Campylobacteriosis","Low","1","2013-11-13 23:11:58","4","2016-03-29 04:11:56"
"215","4","0","Bird","Hill Myna(h)","Gracula religiosa","Appendix III","","Bhutan, Brunei Darussalam, China, India, Nepal, Sri Lanka","LC","","This species occurs in moist or semi-evergreen forest in lowlands, hills and mountains. ","A medium size bird black in color. Two distinct yellow stripes on either side of the head. A bright orange bill and yellow legs. When in flight white patches on the wings are visible.","DO NOT BUY Hill Mynas. International trade for this species is regulated. Populations are declining due to the extreme exploitation of this bird for its ability to mimic. Report trade to authorities. ","INVESTIGATE.  International trade is regulated. Examine all documents thoroughly and seek expert advice if necessary. National protections may also apply. Examine each case for further investigative leads.","","Common Hill Myna, Hill Myna","Length ~30cm  Weight ~150g Wingspan ~50cm","Avoid handling animal unnecessarily. Always wear gloves and a mask when handling birds. Perches should be provided as it is almost entirely arboreal. They are omnivores which can eat insects, fruit and nectar. ","Live animals for pet trade.","Birds are commonly trafficked as eggs or as sedated animals. Sometimes secreted on the smuggler's body in specially made pockets/pouches. Also found in suitcases, usually packed tightly into small plastic or cardboard cylinders/pipes. Also transported in cages, usually covered, by boat or land vehicle.","","animal,feathers,2legs,black,small,wings,yellow,beak,tail","","Avian Influenza, Chlamydiosis, Histoplasmosis, Newcastle Disease, Salmonellosis, West Nile Virus ","High","1","2013-11-14 00:57:36","4","2016-03-29 03:54:41"
"217","2","1","Bird","Blue-eared Lory","Eos semilarvata","Appendix II","","Indonesia","LC","","Primary forest and forest edges in most lowland areas","The smallest of the lories at around 25 cm. This parrot is mainly red with distinct blue feathers that run from the eye to just past the ear. Blue and black feathers are also on the wings and tail. The Blue-eared lorikeet has an orange beak.","DO NOT BUY. The population of Blue-eared Lorikeet is decreasing.The international trade of this species is heavily regulated and national protections may apply. The Blue-eared Lorikeet is heavily exploited for the pet trade. Report trade.","INVESTIGATE.  International trade is highly regulated and requires a CITES permit. Examine all documents thoroughly and seek expert advice if necessary. National protections may also apply. Examine each case for further investigative leads. Report.","Red-and-blue Lory, Violet-necked lory, red lory, blue-streaked lory, black-winged lory","Blue-eared Lorikeet, Ceram Lory, Half-masked Lory, and Seram Lory","(adult) Length: 24-30cm (head to tail tip) 
Weight: 150-220g ","Lorikeets don’t always get along with other birds in captivity; they can become very aggressive if they think their territory or perceived possessions are threatened. Keep isolated, where possible. Lorikeets can be kept in a cage covered by a cloth. Keep away from dogs, snakes, and other potential predators. ","Harvested extensively for the pet trade.","Birds are commonly trafficked as eggs or as sedated animals. Sometimes secreted on the smuggler's body in specially made pockets/pouches. Also found in suitcases, usually packed tightly into small plastic or cardboard cylinders/pipes. Also transported in cages, usually covered, by boat or land vehicle.","","animal,feathers,2legs,red,blue,small,wings,purple,black,tail,orange,beak","","Psittacosis, Salmonella, Campylobacter, Newcastle disease, Avian TB, Allergic Alveolitis,West Nile virus, Avian Influenza, Mycobacterium, Aspergillus fumigatus","Medium","1","2013-11-14 01:13:10","4","2015-12-01 02:22:31"
"218","4","0","Bird","Forest Owlet","Heteroglaux blewitti ","Appendix I","","India","CR","","Dry forests in India; however, it has been spotted in more tropical forests on the edge of its range.","Square-headed owl with a dark grey-brown crown and nape with faintly spotted white. The Forest Owlet has distinct bright yellow eyes. The wings are broadly banded blackish-brown and white. Broadly banded tail with white tail-tip. Dark brown breast with broad prominent barring on flanks, white underparts.","DO NOT BUY Forest Owlet. This species was thought to be extinct until rediscovered in 1997. There are fewer than 100 confirmed individuals. This owl is considered critically endangered and all international trade is prohibited. Report trade to trusted authorities. ","INVESTIGATE. No legal international trade in Forest Owlet is permitted. Any papers purporting to allow such trade are false or unlawful. National protections also apply. Examine each case for further investigative leads. Report to trusted authorities. ","Usambara Eagle-owl, Brown Fish-owl, Christmas Hawk-owl","Forest Little Owl, Forest Spotted Owlet","Length ~25cm  Weight ~300g","Avoid handling animal unnecessarily. Standard gauntlet for restraint. Beak will inflict superficial injury, talons will also cause injury. The bird can be restrained by one person holding in the wings and keeping the feet away from one's body. Covering the head will help keep the bird calm. No perch in box. ","Live animals, body parts for traditional medicine/magic.","Birds are commonly trafficked as eggs or as sedated animals. Sometimes secreted on the smugglers body in specially made pockets/pouches. Also found in suitcases, usually packed tightly into small plastic or cardboard cylinders/pipes. Also transported in cages, usually covered, by boat or land vehicle.","","animal,feathers,2legs,small,brown,wings,white,gray,tail,beak",""," West Nile virus, avian influenza, Mycobacterium, Aspergillus fumigatus.","Medium","1","2013-11-14 01:19:06","4","2016-03-29 03:27:15"
"222","4","0","Fish","Largetooth Sawfish","Pristis pristis","Appendix I","","Australia, Bangladesh, India, Mozambique, Papua New Guinea, South Africa, Sri Lanka","CR","Nocturnal","Shallow coastal, estuaries, and fresh waters. ","A large sawfish with a short saw which is broad-based and possesses 14 to 22 very big teeth on each side. Has a shark-like body and gill slits on their ventral side. The animal is predominately colored grey with a lighter colored underside.","DO NOT BUY Freshwater Sawfish, their parts or derivative products. International trade or transport of Freshwater Sawfish, their parts and derived products is illegal. Freshwater Sawfish are classified as critically endangered as a result of over-fishing, habitat loss and degradation. Report trade to trusted authorities. ","INVESTIGATE. International trade in wild caught sawfish is illegal. Any papers purporting to allow such trade are false or unlawful. National protections also apply. Examine each case for further investigative leads. Report to trusted authorities. 
","Dwarf sawfish, smalltooth sawfish, and green sawfish","Freshwater Sawfish, Largetooth Sawfish, Leichhardts Sawfish, Smalltooth Sawfish","Length ~ 7 meters  Weight ~ 2000-2400 kgs","Avoid handling animal unnecessarily. Approach with caution, due to the powerful size of the animal. ","Rostrum, fins, liver used for traditional medicine, and meat. ","Packed in water-filled plastic bags or tubs. Fish are commonly smuggled with other non-protected species. ","","animal,notsure,legs,gray,large,fins,white,tail","","Potential for parasites if consuming undercooked meat nematode: C. philippinensis, G. Hipidium Trematode: C. sinensis, O. viverrini Cestode: D. latum, Bacterial infections from contaminated water: Vibriosis, Mycobacteriosis, Aeromonasis, Pseudomoniasis, Campylobacter, Erysipelas, Leptosprirosis, Botulism, Edwardsiella, E. coli, salmonellosis.","Low","1","2013-11-28 19:32:25","4","2016-03-29 04:09:40"
"223","2","1","Fish","Jullien's Golden Carp","Probarbus jullieni","Appendix I","","Cambodia,Lao PDR,Malaysia,Thailand,Vietnam","EN","","Shallow coastal, estuarine, and fresh waters. Mainstreams rivers, from upper to middle reaches, rarely lower reaches. ","A large fish unique for its colorful body pattern with seven dark stripes that run down the body. The upper surface is a brownish color, and the underside is a silvery white. In addition, the fins are an luminescent blue, and the head  a mix of gold and blue. The eyes are orange.","DO NOT BUY. Jullien's Golden Carp, their parts or derivative products. International trade or transport of Jullien's Golden Carp, their parts and derived products is illegal. Report trade to trusted authorities. Jullien's Golden Carp are classified as endangered, as a result of over-fishing, habitat loss and fragmentation.","INVESTIGATE. International trade in wild caught Jullien's Golden Carp is illegal. Any papers purporting to allow such trade are false or unlawful. National protections also apply. Examine each case for further investigative leads. Report.","","Julliens Golden Carp, Seven-striped Barb, Isok Barb, Barbeau De Jullien, or Carpilla Ikan Temoleh","Can reach Length ~150 cm and weight ~70kg","Avoid handling animal unnecessarily.","Pets, meat","Packed in water-filled plastic bags or tubs. Fish are commonly smuggled with other non-protected species. ","","animal,scales,legs,blue,brown,silver,gold,small,fins,purple,gray,black,white,medium,tail","","Potential for parasites if consuming undercooked meat nematode: C. philippinensis, G. Hipidium Trematode: C. sinensis, O. viverrini Cestode: D. latum, Bacterial infections from contaminated water: Vibriosis, Mycobacteriosis, Aeromonasis, Pseudomoniasis, Campylobacter, Erysipelas, Leptosprirosis, Botulism, Edwardsiella, E. coli, salmonellosis.","Medium","1","2013-11-28 19:41:51","1","2015-10-02 09:07:45"
"224","2","1","Fish","Seahorse species","Hippocampus spp.","Appendix II","","Warm oceans throughout the world","","","Warm tropical waters on reefs to a depth up to 20 meters","Small to very small marine creature which resembles a horse, giving them their name. Colors can range from pale browns to really bright various patterns including spots, stripes and many other variations.","DO NOT BUY  Seahorses, their parts or derivative products. All species of seahorse are protected. International trade or transport of the seahorse is heavily regulated and may be illegal in some nations. Report trade. ","INVESTIGATE. The international trade of all seahorse species is heavily regulates and requires a CITES permit. Examine all documents to ensure they are genuine. Examine each case for further investigative leads. Report.","","","Height 1.5 - 15 cm ","Avoid handling animal unnecessarily. Contact experts for handling.","Pets, traditional Chinese medicine","Packed in water-filled plastic bags or tubs. Seahorses are often dried before transport.","","animal,legs,brown,blue,red,tail,purple,yellow,brown,tiny,orange,black,green,","","","Low","1","2013-11-28 20:13:47","1","2015-10-03 03:44:58"
"225","4","0","Bird","Galah","Eolophus roseicapilla","Appendix II","","Australia","LC","","Savannah and forests throughout Australia.","A small pink and grey parrot. The eyes of the females are red while the males are brown. The breast and head feathers are pink while the feathers on the wings and back are grey.","DO NOT BUY Galahs. The international trade of this parrot is regulated. This species is also exploited for the pet trade. Report.","INVESTIGATE. The international trade in this species is strictly regulated and requires a CITES permit. Examine all documents to ensure they are genuine. Report.","","Pink and Grey Cockatoo, red breasted Cockatoo, roseate Cockatoo, rose breasted Cockatoo.","Length ~35 cm Weight ~350g","Avoid handling animal unnecessarily. Always wear a mask and gloves when dealing with birds.","Live animals for the pet trade.","Birds are commonly trafficked as eggs or as sedated animals. Sometimes secreted on the smuggler's body in specially made pockets/pouches. Also found in suitcases, usually packed tightly into small plastic or cardboard cylinders/pipes. Also transported in cages, usually covered, by boat or land vehicle.","","animal,feathers,2legs,gray,pink,small,wings,tail,red,beak,white","","Psittacosis, Salmonella, Campylobacter, Newcastle disease, Avian TB, Allergic Alveolitis, West Nile virus, Avian influenza, Mycobacterium, Aspergillus fumigatus.","Medium","1","2013-12-01 20:08:52","4","2016-03-29 03:31:26"
"228","2","1","Plant","Orchid species","Orchidae","Appendix II","","","","","All habitats","A diverse family of flowers consisting of more than 20,000 species, all of which are protected. Orchids can be found in many habitats. Orchids are easily distinguished from other plants, as they share some very evident apomorphies. Among these are: bilateral symmetry (zygomorphism), many resupinate flowers, a nearly always highly modified petal (labellum), fused stamens and carpels, and extremely small seeds.","DO NOT BUY Orchids that come from the wild. All wild orchids are protected from national trade. Wild orchids are easy to distinguish as they will have minor defects, and not look as ""perfect"" as one that was farmed.","INVESTIGATE. All wild orchids require CITES permits (seedlings or tissue cultures are exempt). Determining the origin of orchids is key to determining if a violation has occurred. International trade of wild harvested orchids is illegal. Any papers purporting to allow such trade are false or unlawful. Seek expert identification assistance for cases involving orchids. Examine each case for further investigative leads. ","","","Varies","Avoid handling unnecessarily and keep in isolation. Orchids should be handled by specialists","Collectibles for enthusiasts, or as founding stock for cloning in nurseries.","Smuggled by air and overland, often in boxes or other containers, including plastic drums.","Seedling or tissue cultures obtained in vitro, in solid or liquid media, and transported in sterile containers are not subject to the provisions of the Convention.","plant,purple,white,green,red","","","","1","2013-12-03 22:56:10","4","2015-12-01 07:35:26"
"229","2","1","Plant","Blood Red Dendrobium Orchid","Dendrobium cruentum","Appendix I","","Malaysia,Myanmar,Thailand","","","Rainforests, swamp forests, mangrove forests, monsoonal forests, woodlands, subalpine shrubbery, tropical mountains, disturbed habitats .","An orchid with a long lasting flower. The pointed outer petals are creamy white. The center of the flower is red giving this species its common name.","DO NOT BUY or transport Blood Red Dendrobiums or any orchid internationally unless confident it's been artificially propagated, and is therefore legal. All wild orchids are protected from trade. The blood red dendrobium Orchid is nearing extinction in the wild. Report trade to trusted authorities.","INVESTIGATE. All wild orchids require CITES permits (seedlings or tissue cultures are exempt). Determining the origin of orchids is key to determining if a violation has occurred. International trade of wild harvested Blood Red Dendrobium Orchids is illegal. Any papers purporting to allow such trade are false or unlawful. Seek expert identification assistance for cases involving orchids. Examine each case for further investigative leads.","","","Varies","Avoid handling unnecessarily and keep in isolation orchids should be handled by specialists.","Collectibles for enthusiasts, or as founding stock for cloning in nurseries.","Smuggled by air and overland, often in boxes or other containers including plastic drums.","Seedling or tissue cultures obtained in vitro, in solid or liquid media, and transported in sterile containers are not subject to the provisions of the Convention.","plant,tiny,white,green,red,purple","","","","1","2013-12-04 01:00:11","4","2015-12-01 02:17:29"
"230","2","1","Plant","Pointed Tooth Paphiopedilum","Paphiopedilum acmodontum","Appendix I","","Philippines","EN","","Wet forests ","One of the many lady slipper orchids which resemble a shoe. This species has a distinct dark green 'slipper'. The three petals have purple-to-pink edges with black stripes and spots.","DO NOT BUY or transport Pointed Tooth Paphiopedilums or any orchid internationally unless confident, it's been artificially propagated, and is therefore legal. All wild orchids are protected from trade. The Pointed Tooth Paphiopedilum is only found in the Philippines. Report trade to trusted authorities.","INVESTIGATE. All wild orchids require CITES permits (seedlings or tissue cultures are exempt). Determining the origin of orchids is key to determining if a violation has occurred. International trade of wild harvested Pointed Tooth Paphiopedilum Orchid is illegal. Any papers purporting to allow such trade are false or unlawful. Seek expert identification assistance for cases involving orchids. Examine each case for further investigative leads.","","","Flower ~7cm wide","Avoid handling unnecessarily and keep in isolation. Orchids should be handled by specialists. ","Collectibles for enthusiasts, or as founding stock for cloning in nurseries.","Smuggled by air and overland, often in boxes or other containers, including plastic drums.","Seedling or tissue cultures obtained in vitro, in solid or liquid media, and transported in sterile containers are not subject to the provisions of the Convention.","plant,green,purple,white,red,yellow","","","","1","2013-12-04 01:24:47","4","2015-12-01 09:41:26"
"231","4","0","Plant","Siamese Rosewood","Dalbergia cochinchinensis","Appendix II","","","VU","","Mixed forests in Southeast Asia","A tree found in Southeast Asia with a dark reddish wood and smooth bark. Siamese rosewood also has a distinct smell.","DO NOT BUY Siamese rosewood or any of its products. This species is protected from international trade. Siamese rosewood is being poached from the forest at alarming rates by well armed poachers leading to many deaths of forest rangers. Report trade to trusted authorities.","INVESTIGATE. International trade of Siamese rosewood is heavily regulated. Many national protections also apply. Examine each case for further investigative leads. Report.","","Phayung (Thai), Thailand Rosewood","Diameter 30-60cm Height ~30m ","Avoid handling unnecessarily.","Used for furniture, musical instruments and other household items.","Smuggled out of the forest on buggies or floated down creeks. Secreted in various vehicles for road transport.","","","","","","1","2013-12-04 01:48:37","4","2016-03-29 04:54:53"
"234","4","0","Plant","Attenborough's Pitcher Plant","Nepenthes attenboroughii","Appendix II","","","CR","","High altitude shrublands","A wide carnivorous pitcher plant, purple and green in color. Its large and bell-shaped structure has a distinct small lid that is also green and purple.","DO NOT BUY Attenborough's Pitcher Plants. All wild pitcher plants are protected from international trade. This species is endangered and is only found in one small area in the wild, making this plant very vulnerable. Report trade to authorities. ","INVESTIGATE. International trade of wild Attenborough's Pitcher Plant is prohibited. Many national protections also apply. Examine each case for further investigative leads. Report to authorities. ","","","Height ~1.5m","Avoid handling unnecessarily.","Collectibles for enthusiasts or as founding stock for cloning in nurseries.","Smuggled by air and overland, often in boxes or other containers, including plastic drums.","Seedling or tissue cultures obtained in vitro, in solid or liquid media, and transported in sterile containers are not subject to the provisions of the Convention.","purple,green,medium,red,yellow,small","","","","1","2013-12-09 02:23:37","4","2016-03-24 06:38:39"
"235","2","1","Amphibian","Tomato Frog","Dyscophus antongilii","Appendix I","","Madagascar","NT","Poisonous,Nocturnal","Shallow pools, swamps, slow-moving water.","Bright orange to red colored frog with dark lines on either side of the body and pale underside. Back may have darker speckles. Females are much larger than males.","DO NOT BUY. Tomato frogs do not make suitable pets, and should not be handled. In the wild, they are not found outside Madagascar. It is illegal to trade or transport these frogs internationally. Report trade to trusted authorities.","INVESTIGATE. No legal international trade in the Tomato Frog is permitted. Any papers purporting to allow such trade are false or unlawful. Examine each case for further investigative leads. Report.","Southern / False Tomato Frog","Northern Tomato Frog","Male length ~6cm weight ~40g Female Length ~9cm weight ~200g","Avoid handling unless necessary. Wear sterile gloves. Tomato frogs are known to produce a sticky, white glue like substance when threatened which can cause an allergic reaction in humans. Tomato frogs have delicate skin, handle with care. Must have access to small dish with water. ","Mainly for the pet trade.","Transported in small containers or jars with air holes.","","animal,skin,4legs,red,orange,tiny,small,tail,black,","http://www.reptileforums.co.uk/forums/amphibian-care-sheets/20800-tomato-frog-care-guide.html","Bacterial infections including Salmonella and E. Coli.","Low","1","2013-12-16 20:16:38","1","2015-09-25 09:20:43"
"236","3","0","Amphibian","Cerro Campana Stubfoot Toad","Atelopus zeteki","Appendix I","","Panama","CR","Poisonous","Tropical forests, streams","A frog that is bright yellow or gold in color and has distinct black markings on most individuals. Females are larger than males. The first two fingers on each limb are webbed. The frog secretes a toxin, but is not considered extremely poisonous. ","DO NOT BUY Panamanian Golden Frogs. This species is considered critically endangered. This species is not only threatened by over-collection for the international pet trade but also by Chytridiomycosis, a fungus which kills frogs. The international trade of this species is prohibited. Report trade to trusted authorities. ","INVESTIGATE. No legal international trade in the Panamanian golden frogs is permitted. Any papers purporting to allow such trade are false or unlawful. Examine each case for further investigative leads. Report to authorities. ","","Panamanian Golden Frog, Golden Arrow Poison Frog, Golden Frog, Zetek's Golden Frog.","Male length ~4cm weight ~10g Female length~ 5CM Weight ~12g","Avoid handling unless necessary. Use caution when handling as they are capable of producing toxins on their skin that are potentially harmful to humans. Males are territorial and should be kept separate from each other. They prefer cooler water. ","Mainly for the pet trade","Transported in small containers or jars with air holes","","animal,skin,4legs,yellow,gold,black,tiny,tail,orange","","Bacterial infections including Salmonella and E. Coli.","Low","1","2013-12-16 20:19:28","4","2016-03-28 09:07:34"
"242","3","0","Amphibian","Green and Black Poison Frog","Dendrobates auratus","Appendix II","","Colombia, Costa Rica, Nicaragua, Panama","LC","Disease risk,Poisonous","Tropical forests, border of roads and streams.","A small poisonous frog with very distinct color patterns. The dorsal coloration varies from yellow-green to light blue with black bands, spots or blotches. Some variations of this species can also be blue instead of green.","DO NOT BUY Green and Black Poison Frogs. Not only is handling this species dangerous but it is threatened by exploitation for the pet trade and habitat loss. Report trade.","INVESTIGATE. The international trade is strictly regulated and requires a valid CITES permit. Seek expert identification assistance if unable to identify this species. Examine each case for further investigative leads. National protections apply in some countries. Report.","","","Average length ~4cm","Use extreme caution and avoid handling if possible. Must assume that they are wild-caught and therefore are capable of secreting poison from glands. They prefer dim habitat with high humidity and access to water. They have extremely delicate skin and beco","Mainly for the pet trade.","Transported in small containers or jars with air holes.","","animal,skin,4legs,green,blue,black,brown,tiny,","","Bacterial infections including Salmonella and E. Coli.","Medium","1","2013-12-18 23:03:19","4","2016-03-29 03:48:21"
"244","3","0","Amphibian","Strawberry Poison Frog","Oophaga pumilio","Appendix II","","Costa Rica, Nicaragua, Panama","LC","Disease risk,Poisonous","Tropical forests, cocoa plantations and gardens.","A small poisonous frog. In Nicaragua and Costa Rica the dorsal coloration are red with bright blue hind legs on most individuals. In Panamá and in the Costa Rica border disappears the blue coloration of the hind legs, while the dorsal coloration varies from red-brown to green with several black spots. Some individuals are completely red lacking the characteristic blue legs. Some specimens can have black blotches or spots on the back.","DO NOT BUY Strawberry Poison Frogs. It can be dangerous to handle this species. This species is protected from international trade and is threatened in the wild by habitat loss and exploitation for the pet trade. Report trade.","INVESTIGATE. The international trade is strictly regulated and requires a valid CITES permit. Seek expert identification assistance if unable to identify this species. Examine each case for further investigative leads. National protections apply in some countries. Report.","","","Length ~2cm ","Use extreme caution and avoid handling if possible. Must assume that they are wild-caught and therefore are capable of secreting poison from glands. They prefer dim habitat with high humidity and access to water. They have extremely delicate skin and beco","Mainly for the pet trade.","Transported in small containers or jars with air holes.","","animal,skin,4legs,red,blue,tiny,black","","Bacterial infections including Salmonella and E. Coli.","Low","1","2013-12-19 01:11:42","4","2016-03-29 05:03:39"
